id_pokemon;name_pokemon;Type 1;Type 2;hp;attack;defense;sp_atk;sp.def;speed;total
 (0031;'Nidoqueen';'Poison';'Ground';90;92;87;75;85;76;505 ),
 (0032;'Nidoran?';'Poison';NULL;46;57;40;40;40;50;273 ),
 (0033;'Nidorino';'Poison';NULL;61;72;57;55;55;65;365 ),
 (0034;'Nidoking';'Poison';'Ground';81;102;77;85;75;85;505 ),
 (0035;'Clefairy';'Fairy';NULL;70;45;48;60;65;35;323 ),
 (0036;'Clefable';'Fairy';NULL;95;70;73;95;90;60;483 ),
 (0037;'Vulpix';'Fire';NULL;38;41;40;50;65;65;299 ),
 (0038;'Ninetales';'Fire';NULL;73;76;75;81;100;100;505 ),
 (0039;'Jigglypuff';'Normal';'Fairy';115;45;20;45;25;20;270 ),
 (0040;'Wigglytuff';'Normal';'Fairy';140;70;45;85;50;45;435 ),
 (0041;'Zubat';'Poison';'Flying';40;45;35;30;40;55;245 ),
 (0042;'Golbat';'Poison';'Flying';75;80;70;65;75;90;455 ),
 (0043;'Oddish';'Grass';'Poison';45;50;55;75;65;30;320 ),
 (0044;'Gloom';'Grass';'Poison';60;65;70;85;75;40;395 ),
 (0045;'Vileplume';'Grass';'Poison';75;80;85;110;90;50;490 ),
 (0046;'Paras';'Bug';'Grass';35;70;55;45;55;25;285 ),
 (0047;'Parasect';'Bug';'Grass';60;95;80;60;80;30;405 ),
 (0048;'Venonat';'Bug';'Poison';60;55;50;40;55;45;305 ),
 (0049;'Venomoth';'Bug';'Poison';70;65;60;90;75;90;450 ),
 (0050;'Diglett';'Ground';NULL;10;55;25;35;45;95;265 ),
 (0051;'Dugtrio';'Ground';NULL;35;100;50;50;70;120;425 ),
 (0052;'Meowth';'Normal';NULL;40;45;35;40;40;90;290 ),
 (0053;'Persian';'Normal';NULL;65;70;60;65;65;115;440 ),
 (0054;'Psyduck';'Water';NULL;50;52;48;65;50;55;320 ),
 (0055;'Golduck';'Water';NULL;80;82;78;95;80;85;500 ),
 (0056;'Mankey';'Fighting';NULL;40;80;35;35;45;70;305 ),
 (0057;'Primeape';'Fighting';NULL;65;105;60;60;70;95;455 ),
 (0058;'Growlithe';'Fire';NULL;55;70;45;70;50;60;350 ),
 (0059;'Arcanine';'Fire';NULL;90;110;80;100;80;95;555 ),
 (0060;'Poliwag';'Water';NULL;40;50;40;40;40;90;300 ),
 (0061;'Poliwhirl';'Water';NULL;65;65;65;50;50;90;385 ),
 (0062;'Poliwrath';'Water';'Fighting';90;95;95;70;90;70;510 ),
 (0063;'Abra';'Psychic';NULL;25;20;15;105;55;90;310 ),
 (0064;'Kadabra';'Psychic';NULL;40;35;30;120;70;105;400 ),
 (0065;'Alakazam';'Psychic';NULL;55;50;45;135;95;120;500 ),
 (0066;'Machop';'Fighting';NULL;70;80;50;35;35;35;305 ),
 (0067;'Machoke';'Fighting';NULL;80;100;70;50;60;45;405 ),
 (0068;'Machamp';'Fighting';NULL;90;130;80;65;85;55;505 ),
 (0069;'Bellsprout';'Grass';'Poison';50;75;35;70;30;40;300 ),
 (0070;'Weepinbell';'Grass';'Poison';65;90;50;85;45;55;390 ),
 (0071;'Victreebel';'Grass';'Poison';80;105;65;100;70;70;490 ),
 (0072;'Tentacool';'Water';'Poison';40;40;35;50;100;70;335 ),
 (0073;'Tentacruel';'Water';'Poison';80;70;65;80;120;100;515 ),
 (0074;'Geodude';'Rock';'Ground';40;80;100;30;30;20;300 ),
 (0075;'Graveler';'Rock';'Ground';55;95;115;45;45;35;390 ),
 (0076;'Golem';'Rock';'Ground';80;120;130;55;65;45;495 ),
 (0077;'Ponyta';'Fire';NULL;50;85;55;65;65;90;410 ),
 (0078;'Rapidash';'Fire';NULL;65;100;70;80;80;105;500 ),
 (0079;'Slowpoke';'Water';'Psychic';90;65;65;40;40;15;315 ),
 (0080;'Slowbro';'Water';'Psychic';95;75;110;100;80;30;490 ),
 (0081;'Magnemite';'Electric';'Steel';25;35;70;95;55;45;325 ),
 (0082;'Magneton';'Electric';'Steel';50;60;95;120;70;70;465 ),
 (0083;'Farfetch'd';'Normal';'Flying';52;90;55;58;62;60;377 ),
 (0084;'Doduo';'Normal';'Flying';35;85;45;35;35;75;310 ),
 (0085;'Dodrio';'Normal';'Flying';60;110;70;60;60;110;470 ),
 (0086;'Seel';'Water';NULL;65;45;55;45;70;45;325 ),
 (0087;'Dewgong';'Water';'Ice';90;70;80;70;95;70;475 ),
 (0088;'Grimer';'Poison';NULL;80;80;50;40;50;25;325 ),
 (0089;'Muk';'Poison';NULL;105;105;75;65;100;50;500 ),
 (0090;'Shellder';'Water';NULL;30;65;100;45;25;40;305 ),
 (0091;'Cloyster';'Water';'Ice';50;95;180;85;45;70;525 ),
 (0092;'Gastly';'Ghost';'Poison';30;35;30;100;35;80;310 ),
 (0093;'Haunter';'Ghost';'Poison';45;50;45;115;55;95;405 ),
 (0094;'Gengar';'Ghost';'Poison';60;65;60;130;75;110;500 ),
 (0095;'Onix';'Rock';'Ground';35;45;160;30;45;70;385 ),
 (0096;'Drowzee';'Psychic';NULL;60;48;45;43;90;42;328 ),
 (0097;'Hypno';'Psychic';NULL;85;73;70;73;115;67;483 ),
 (0098;'Krabby';'Water';NULL;30;105;90;25;25;50;325 ),
 (0099;'Kingler';'Water';NULL;55;130;115;50;50;75;475 ),
 (0100;'Voltorb';'Electric';NULL;40;30;50;55;55;100;330 ),
 (0101;'Electrode';'Electric';NULL;60;50;70;80;80;150;490 ),
 (0102;'Exeggcute';'Grass';'Psychic';60;40;80;60;45;40;325 ),
 (0103;'Exeggutor';'Grass';'Psychic';95;95;85;125;75;55;530 ),
 (0104;'Cubone';'Ground';NULL;50;50;95;40;50;35;320 ),
 (0105;'Marowak';'Ground';NULL;60;80;110;50;80;45;425 ),
 (0106;'Hitmonlee';'Fighting';NULL;50;120;53;35;110;87;455 ),
 (0107;'Hitmonchan';'Fighting';NULL;50;105;79;35;110;76;455 ),
 (0108;'Lickitung';'Normal';NULL;90;55;75;60;75;30;385 ),
 (0109;'Koffing';'Poison';NULL;40;65;95;60;45;35;340 ),
 (0110;'Weezing';'Poison';NULL;65;90;120;85;70;60;490 ),
 (0111;'Rhyhorn';'Ground';'Rock';80;85;95;30;30;25;345 ),
 (0112;'Rhydon';'Ground';'Rock';105;130;120;45;45;40;485 ),
 (0113;'Chansey';'Normal';NULL;250;5;5;35;105;50;450 ),
 (0114;'Tangela';'Grass';NULL;65;55;115;100;40;60;435 ),
 (0115;'Kangaskhan';'Normal';NULL;105;95;80;40;80;90;490 ),
 (0116;'Horsea';'Water';NULL;30;40;70;70;25;60;295 ),
 (0117;'Seadra';'Water';NULL;55;65;95;95;45;85;440 ),
 (0118;'Goldeen';'Water';NULL;45;67;60;35;50;63;320 ),
 (0119;'Seaking';'Water';NULL;80;92;65;65;80;68;450 ),
 (0120;'Staryu';'Water';NULL;30;45;55;70;55;85;340 ),
 (0121;'Starmie';'Water';'Psychic';60;75;85;100;85;115;520 ),
 (0122;'Mr. Mime';'Psychic';'Fairy';40;45;65;100;120;90;460 ),
 (0123;'Scyther';'Bug';'Flying';70;110;80;55;80;105;500 ),
 (0124;'Jynx';'Ice';'Psychic';65;50;35;115;95;95;455 ),
 (0125;'Electabuzz';'Electric';NULL;65;83;57;95;85;105;490 ),
 (0126;'Magmar';'Fire';NULL;65;95;57;100;85;93;495 ),
 (0127;'Pinsir';'Bug';NULL;65;125;100;55;70;85;500 ),
 (0128;'Tauros';'Normal';NULL;75;100;95;40;70;110;490 ),
 (0129;'Magikarp';'Water';NULL;20;10;55;15;20;80;200 ),
 (0130;'Gyarados';'Water';'Flying';95;125;79;60;100;81;540 ),
 (0131;'Lapras';'Water';'Ice';130;85;80;85;95;60;535 ),
 (0132;'Ditto';'Normal';NULL;48;48;48;48;48;48;288 ),
 (0133;'Eevee';'Normal';NULL;55;55;50;45;65;55;325 ),
 (0134;'Vaporeon';'Water';NULL;130;65;60;110;95;65;525 ),
 (0135;'Jolteon';'Electric';NULL;65;65;60;110;95;130;525 ),
 (0136;'Flareon';'Fire';NULL;65;130;60;95;110;65;525 ),
 (0137;'Porygon';'Normal';NULL;65;60;70;85;75;40;395 ),
 (0138;'Omanyte';'Rock';'Water';35;40;100;90;55;35;355 ),
 (0139;'Omastar';'Rock';'Water';70;60;125;115;70;55;495 ),
 (0140;'Kabuto';'Rock';'Water';30;80;90;55;45;55;355 ),
 (0141;'Kabutops';'Rock';'Water';60;115;105;65;70;80;495 ),
 (0142;'Aerodactyl';'Rock';'Flying';80;105;65;60;75;130;515 ),
 (0143;'Snorlax';'Normal';NULL;160;110;65;65;110;30;540 ),
 (0144;'Articuno';'Ice';'Flying';90;85;100;95;125;85;580 ),
 (0145;'Zapdos';'Electric';'Flying';90;90;85;125;90;100;580 ),
 (0146;'Moltres';'Fire';'Flying';90;100;90;125;85;90;580 ),
 (0147;'Dratini';'Dragon';NULL;41;64;45;50;50;50;300 ),
 (0148;'Dragonair';'Dragon';NULL;61;84;65;70;70;70;420 ),
 (0149;'Dragonite';'Dragon';'Flying';91;134;95;100;100;80;600 ),
 (0150;'Mewtwo';'Psychic';NULL;106;110;90;154;90;130;680 ),
 (0151;'Mew';'Psychic';NULL;100;100;100;100;100;100;600 ),
 (0152;'Chikorita';'Grass';NULL;45;49;65;49;65;45;318 ),
 (0153;'Bayleef';'Grass';NULL;60;62;80;63;80;60;405 ),
 (0154;'Meganium';'Grass';NULL;80;82;100;83;100;80;525 ),
 (0155;'Cyndaquil';'Fire';NULL;39;52;43;60;50;65;309 ),
 (0156;'Quilava';'Fire';NULL;58;64;58;80;65;80;405 ),
 (0157;'Typhlosion';'Fire';NULL;78;84;78;109;85;100;534 ),
 (0158;'Totodile';'Water';NULL;50;65;64;44;48;43;314 ),
 (0159;'Croconaw';'Water';NULL;65;80;80;59;63;58;405 ),
 (0160;'Feraligatr';'Water';NULL;85;105;100;79;83;78;530 ),
 (0161;'Sentret';'Normal';NULL;35;46;34;35;45;20;215 ),
 (0162;'Furret';'Normal';NULL;85;76;64;45;55;90;415 ),
 (0163;'Hoothoot';'Normal';'Flying';60;30;30;36;56;50;262 ),
 (0164;'Noctowl';'Normal';'Flying';100;50;50;86;96;70;452 ),
 (0165;'Ledyba';'Bug';'Flying';40;20;30;40;80;55;265 ),
 (0166;'Ledian';'Bug';'Flying';55;35;50;55;110;85;390 ),
 (0167;'Spinarak';'Bug';'Poison';40;60;40;40;40;30;250 ),
 (0168;'Ariados';'Bug';'Poison';70;90;70;60;70;40;400 ),
 (0169;'Crobat';'Poison';'Flying';85;90;80;70;80;130;535 ),
 (0170;'Chinchou';'Water';'Electric';75;38;38;56;56;67;330 ),
 (0171;'Lanturn';'Water';'Electric';125;58;58;76;76;67;460 ),
 (0172;'Pichu';'Electric';NULL;20;40;15;35;35;60;205 ),
 (0173;'Cleffa';'Fairy';NULL;50;25;28;45;55;15;218 ),
 (0174;'Igglybuff';'Normal';'Fairy';90;30;15;40;20;15;210 ),
 (0175;'Togepi';'Fairy';NULL;35;20;65;40;65;20;245 ),
 (0176;'Togetic';'Fairy';'Flying';55;40;85;80;105;40;405 ),
 (0177;'Natu';'Psychic';'Flying';40;50;45;70;45;70;320 ),
 (0178;'Xatu';'Psychic';'Flying';65;75;70;95;70;95;470 ),
 (0179;'Mareep';'Electric';NULL;55;40;40;65;45;35;280 ),
 (0180;'Flaaffy';'Electric';NULL;70;55;55;80;60;45;365 ),
 (0181;'Ampharos';'Electric';NULL;90;75;85;115;90;55;510 ),
 (0182;'Bellossom';'Grass';NULL;75;80;95;90;100;50;490 ),
 (0183;'Marill';'Water';'Fairy';70;20;50;20;50;40;250 ),
 (0184;'Azumarill';'Water';'Fairy';100;50;80;60;80;50;420 ),
 (0185;'Sudowoodo';'Rock';NULL;70;100;115;30;65;30;410 ),
 (0186;'Politoed';'Water';NULL;90;75;75;90;100;70;500 ),
 (0187;'Hoppip';'Grass';'Flying';35;35;40;35;55;50;250 ),
 (0188;'Skiploom';'Grass';'Flying';55;45;50;45;65;80;340 ),
 (0189;'Jumpluff';'Grass';'Flying';75;55;70;55;95;110;460 ),
 (0190;'Aipom';'Normal';NULL;55;70;55;40;55;85;360 ),
 (0191;'Sunkern';'Grass';NULL;30;30;30;30;30;30;180 ),
 (0192;'Sunflora';'Grass';NULL;75;75;55;105;85;30;425 ),
 (0193;'Yanma';'Bug';'Flying';65;65;45;75;45;95;390 ),
 (0194;'Wooper';'Water';'Ground';55;45;45;25;25;15;210 ),
 (0195;'Quagsire';'Water';'Ground';95;85;85;65;65;35;430 ),
 (0196;'Espeon';'Psychic';NULL;65;65;60;130;95;110;525 ),
 (0197;'Umbreon';'Dark';NULL;95;65;110;60;130;65;525 ),
 (0198;'Murkrow';'Dark';'Flying';60;85;42;85;42;91;405 ),
 (0199;'Slowking';'Water';'Psychic';95;75;80;100;110;30;490 ),
 (0200;'Misdreavus';'Ghost';NULL;60;60;60;85;85;85;435 ),
 (0201;'Unown';'Psychic';NULL;48;72;48;72;48;48;336 ),
 (0202;'Wobbuffet';'Psychic';NULL;190;33;58;33;58;33;405 ),
 (0203;'Girafarig';'Normal';'Psychic';70;80;65;90;65;85;455 ),
 (0204;'Pineco';'Bug';NULL;50;65;90;35;35;15;290 ),
 (0205;'Forretress';'Bug';'Steel';75;90;140;60;60;40;465 ),
 (0206;'Dunsparce';'Normal';NULL;100;70;70;65;65;45;415 ),
 (0207;'Gligar';'Ground';'Flying';65;75;105;35;65;85;430 ),
 (0208;'Steelix';'Steel';'Ground';75;85;200;55;65;30;510 ),
 (0209;'Snubbull';'Fairy';NULL;60;80;50;40;40;30;300 ),
 (0210;'Granbull';'Fairy';NULL;90;120;75;60;60;45;450 ),
 (0211;'Qwilfish';'Water';'Poison';65;95;85;55;55;85;440 ),
 (0212;'Scizor';'Bug';'Steel';70;130;100;55;80;65;500 ),
 (0213;'Shuckle';'Bug';'Rock';20;10;230;10;230;5;505 ),
 (0214;'Heracross';'Bug';'Fighting';80;125;75;40;95;85;500 ),
 (0215;'Sneasel';'Dark';'Ice';55;95;55;35;75;115;430 ),
 (0216;'Teddiursa';'Normal';NULL;60;80;50;50;50;40;330 ),
 (0217;'Ursaring';'Normal';NULL;90;130;75;75;75;55;500 ),
 (0218;'Slugma';'Fire';NULL;40;40;40;70;40;20;250 ),
 (0219;'Magcargo';'Fire';'Rock';60;50;120;90;80;30;430 ),
 (0220;'Swinub';'Ice';'Ground';50;50;40;30;30;50;250 ),
 (0221;'Piloswine';'Ice';'Ground';100;100;80;60;60;50;450 ),
 (0222;'Corsola';'Water';'Rock';65;55;95;65;95;35;410 ),
 (0223;'Remoraid';'Water';NULL;35;65;35;65;35;65;300 ),
 (0224;'Octillery';'Water';NULL;75;105;75;105;75;45;480 ),
 (0225;'Delibird';'Ice';'Flying';45;55;45;65;45;75;330 ),
 (0226;'Mantine';'Water';'Flying';85;40;70;80;140;70;485 ),
 (0227;'Skarmory';'Steel';'Flying';65;80;140;40;70;70;465 ),
 (0228;'Houndour';'Dark';'Fire';45;60;30;80;50;65;330 ),
 (0229;'Houndoom';'Dark';'Fire';75;90;50;110;80;95;500 ),
 (0230;'Kingdra';'Water';'Dragon';75;95;95;95;95;85;540 ),
 (0231;'Phanpy';'Ground';NULL;90;60;60;40;40;40;330 ),
 (0232;'Donphan';'Ground';NULL;90;120;120;60;60;50;500 ),
 (0233;'Porygon2';'Normal';NULL;85;80;90;105;95;60;515 ),
 (0234;'Stantler';'Normal';NULL;73;95;62;85;65;85;465 ),
 (0235;'Smeargle';'Normal';NULL;55;20;35;20;45;75;250 ),
 (0236;'Tyrogue';'Fighting';NULL;35;35;35;35;35;35;210 ),
 (0237;'Hitmontop';'Fighting';NULL;50;95;95;35;110;70;455 ),
 (0238;'Smoochum';'Ice';'Psychic';45;30;15;85;65;65;305 ),
 (0239;'Elekid';'Electric';NULL;45;63;37;65;55;95;360 ),
 (0240;'Magby';'Fire';NULL;45;75;37;70;55;83;365 ),
 (0241;'Miltank';'Normal';NULL;95;80;105;40;70;100;490 ),
 (0242;'Blissey';'Normal';NULL;255;10;10;75;135;55;540 ),
 (0243;'Raikou';'Electric';NULL;90;85;75;115;100;115;580 ),
 (0244;'Entei';'Fire';NULL;115;115;85;90;75;100;580 ),
 (0245;'Suicune';'Water';NULL;100;75;115;90;115;85;580 ),
 (0246;'Larvitar';'Rock';'Ground';50;64;50;45;50;41;300 ),
 (0247;'Pupitar';'Rock';'Ground';70;84;70;65;70;51;410 ),
 (0248;'Tyranitar';'Rock';'Dark';100;134;110;95;100;61;600 ),
 (0249;'Lugia';'Psychic';'Flying';106;90;130;90;154;110;680 ),
 (0250;'Ho-oh';'Fire';'Flying';106;130;90;110;154;90;680 ),
 (0251;'Celebi';'Psychic';'Grass';100;100;100;100;100;100;600 ),
 (0252;'Treecko';'Grass';NULL;40;45;35;65;55;70;310 ),
 (0253;'Grovyle';'Grass';NULL;50;65;45;85;65;95;405 ),
 (0254;'Sceptile';'Grass';NULL;70;85;65;105;85;120;530 ),
 (0255;'Torchic';'Fire';NULL;45;60;40;70;50;45;310 ),
 (0256;'Combusken';'Fire';'Fighting';60;85;60;85;60;55;405 ),
 (0257;'Blaziken';'Fire';'Fighting';80;120;70;110;70;80;530 ),
 (0258;'Mudkip';'Water';NULL;50;70;50;50;50;40;310 ),
 (0259;'Marshtomp';'Water';'Ground';70;85;70;60;70;50;405 ),
 (0260;'Swampert';'Water';'Ground';100;110;90;85;90;60;535 ),
 (0261;'Poochyena';'Dark';NULL;35;55;35;30;30;35;220 ),
 (0262;'Mightyena';'Dark';NULL;70;90;70;60;60;70;420 ),
 (0263;'Zigzagoon';'Normal';NULL;38;30;41;30;41;60;240 ),
 (0264;'Linoone';'Normal';NULL;78;70;61;50;61;100;420 ),
 (0265;'Wurmple';'Bug';NULL;45;45;35;20;30;20;195 ),
 (0266;'Silcoon';'Bug';NULL;50;35;55;25;25;15;205 ),
 (0267;'Beautifly';'Bug';'Flying';60;70;50;100;50;65;395 ),
 (0268;'Cascoon';'Bug';NULL;50;35;55;25;25;15;205 ),
 (0269;'Dustox';'Bug';'Poison';60;50;70;50;90;65;385 ),
 (0270;'Lotad';'Water';'Grass';40;30;30;40;50;30;220 ),
 (0271;'Lombre';'Water';'Grass';60;50;50;60;70;50;340 ),
 (0272;'Ludicolo';'Water';'Grass';80;70;70;90;100;70;480 ),
 (0273;'Seedot';'Grass';NULL;40;40;50;30;30;30;220 ),
 (0274;'Nuzleaf';'Grass';'Dark';70;70;40;60;40;60;340 ),
 (0275;'Shiftry';'Grass';'Dark';90;100;60;90;60;80;480 ),
 (0276;'Taillow';'Normal';'Flying';40;55;30;30;30;85;270 ),
 (0277;'Swellow';'Normal';'Flying';60;85;60;75;50;125;455 ),
 (0278;'Wingull';'Water';'Flying';40;30;30;55;30;85;270 ),
 (0279;'Pelipper';'Water';'Flying';60;50;100;95;70;65;440 ),
 (0280;'Ralts';'Psychic';'Fairy';28;25;25;45;35;40;198 ),
 (0281;'Kirlia';'Psychic';'Fairy';38;35;35;65;55;50;278 ),
 (0282;'Gardevoir';'Psychic';'Fairy';68;65;65;125;115;80;518 ),
 (0283;'Surskit';'Bug';'Water';40;30;32;50;52;65;269 ),
 (0284;'Masquerain';'Bug';'Flying';70;60;62;100;82;80;454 ),
 (0285;'Shroomish';'Grass';NULL;60;40;60;40;60;35;295 ),
 (0286;'Breloom';'Grass';'Fighting';60;130;80;60;60;70;460 ),
 (0287;'Slakoth';'Normal';NULL;60;60;60;35;35;30;280 ),
 (0288;'Vigoroth';'Normal';NULL;80;80;80;55;55;90;440 ),
 (0289;'Slaking';'Normal';NULL;150;160;100;95;65;100;670 ),
 (0290;'Nincada';'Bug';'Ground';31;45;90;30;30;40;266 ),
 (0291;'Ninjask';'Bug';'Flying';61;90;45;50;50;160;456 ),
 (0292;'Shedinja';'Bug';'Ghost';1;90;45;30;30;40;236 ),
 (0293;'Whismur';'Normal';NULL;64;51;23;51;23;28;240 ),
 (0294;'Loudred';'Normal';NULL;84;71;43;71;43;48;360 ),
 (0295;'Exploud';'Normal';NULL;104;91;63;91;73;68;490 ),
 (0296;'Makuhita';'Fighting';NULL;72;60;30;20;30;25;237 ),
 (0297;'Hariyama';'Fighting';NULL;144;120;60;40;60;50;474 ),
 (0298;'Azurill';'Normal';'Fairy';50;20;40;20;40;20;190 ),
 (0299;'Nosepass';'Rock';NULL;30;45;135;45;90;30;375 ),
 (0300;'Skitty';'Normal';NULL;50;45;45;35;35;50;260 ),
 (0301;'Delcatty';'Normal';NULL;70;65;65;55;55;90;400 ),
 (0302;'Sableye';'Dark';'Ghost';50;75;75;65;65;50;380 ),
 (0303;'Mawile';'Steel';'Fairy';50;85;85;55;55;50;380 ),
 (0304;'Aron';'Steel';'Rock';50;70;100;40;40;30;330 ),
 (0305;'Lairon';'Steel';'Rock';60;90;140;50;50;40;430 ),
 (0306;'Aggron';'Steel';'Rock';70;110;180;60;60;50;530 ),
 (0307;'Meditite';'Fighting';'Psychic';30;40;55;40;55;60;280 ),
 (0308;'Medicham';'Fighting';'Psychic';60;60;75;60;75;80;410 ),
 (0309;'Electrike';'Electric';NULL;40;45;40;65;40;65;295 ),
 (0310;'Manectric';'Electric';NULL;70;75;60;105;60;105;475 ),
 (0311;'Plusle';'Electric';NULL;60;50;40;85;75;95;405 ),
 (0312;'Minun';'Electric';NULL;60;40;50;75;85;95;405 ),
 (0313;'Volbeat';'Bug';NULL;65;73;75;47;85;85;430 ),
 (0314;'Illumise';'Bug';NULL;65;47;75;73;85;85;430 ),
 (0315;'Roselia';'Grass';'Poison';50;60;45;100;80;65;400 ),
 (0316;'Gulpin';'Poison';NULL;70;43;53;43;53;40;302 ),
 (0317;'Swalot';'Poison';NULL;100;73;83;73;83;55;467 ),
 (0318;'Carvanha';'Water';'Dark';45;90;20;65;20;65;305 ),
 (0319;'Sharpedo';'Water';'Dark';70;120;40;95;40;95;460 ),
 (0320;'Wailmer';'Water';NULL;130;70;35;70;35;60;400 ),
 (0321;'Wailord';'Water';NULL;170;90;45;90;45;60;500 ),
 (0322;'Numel';'Fire';'Ground';60;60;40;65;45;35;305 ),
 (0323;'Camerupt';'Fire';'Ground';70;100;70;105;75;40;460 ),
 (0324;'Torkoal';'Fire';NULL;70;85;140;85;70;20;470 ),
 (0325;'Spoink';'Psychic';NULL;60;25;35;70;80;60;330 ),
 (0326;'Grumpig';'Psychic';NULL;80;45;65;90;110;80;470 ),
 (0327;'Spinda';'Normal';NULL;60;60;60;60;60;60;360 ),
 (0328;'Trapinch';'Ground';NULL;45;100;45;45;45;10;290 ),
 (0329;'Vibrava';'Ground';'Dragon';50;70;50;50;50;70;340 ),
 (0330;'Flygon';'Ground';'Dragon';80;100;80;80;80;100;520 ),
 (0331;'Cacnea';'Grass';NULL;50;85;40;85;40;35;335 ),
 (0332;'Cacturne';'Grass';'Dark';70;115;60;115;60;55;475 ),
 (0333;'Swablu';'Normal';'Flying';45;40;60;40;75;50;310 ),
 (0334;'Altaria';'Dragon';'Flying';75;70;90;70;105;80;490 ),
 (0335;'Zangoose';'Normal';NULL;73;115;60;60;60;90;458 ),
 (0336;'Seviper';'Poison';NULL;73;100;60;100;60;65;458 ),
 (0337;'Lunatone';'Rock';'Psychic';90;55;65;95;85;70;460 ),
 (0338;'Solrock';'Rock';'Psychic';90;95;85;55;65;70;460 ),
 (0339;'Barboach';'Water';'Ground';50;48;43;46;41;60;288 ),
 (0340;'Whiscash';'Water';'Ground';110;78;73;76;71;60;468 ),
 (0341;'Corphish';'Water';NULL;43;80;65;50;35;35;308 ),
 (0342;'Crawdaunt';'Water';'Dark';63;120;85;90;55;55;468 ),
 (0343;'Baltoy';'Ground';'Psychic';40;40;55;40;70;55;300 ),
 (0344;'Claydol';'Ground';'Psychic';60;70;105;70;120;75;500 ),
 (0345;'Lileep';'Rock';'Grass';66;41;77;61;87;23;355 ),
 (0346;'Cradily';'Rock';'Grass';86;81;97;81;107;43;495 ),
 (0347;'Anorith';'Rock';'Bug';45;95;50;40;50;75;355 ),
 (0348;'Armaldo';'Rock';'Bug';75;125;100;70;80;45;495 ),
 (0349;'Feebas';'Water';NULL;20;15;20;10;55;80;200 ),
 (0350;'Milotic';'Water';NULL;95;60;79;100;125;81;540 ),
 (0351;'Castform';'Normal';NULL;70;70;70;70;70;70;420 ),
 (0352;'Kecleon';'Normal';NULL;60;90;70;60;120;40;440 ),
 (0353;'Shuppet';'Ghost';NULL;44;75;35;63;33;45;295 ),
 (0354;'Banette';'Ghost';NULL;64;115;65;83;63;65;455 ),
 (0355;'Duskull';'Ghost';NULL;20;40;90;30;90;25;295 ),
 (0356;'Dusclops';'Ghost';NULL;40;70;130;60;130;25;455 ),
 (0357;'Tropius';'Grass';'Flying';99;68;83;72;87;51;460 ),
 (0358;'Chimecho';'Psychic';NULL;75;50;80;95;90;65;455 ),
 (0359;'Absol';'Dark';NULL;65;130;60;75;60;75;465 ),
 (0360;'Wynaut';'Psychic';NULL;95;23;48;23;48;23;260 ),
 (0361;'Snorunt';'Ice';NULL;50;50;50;50;50;50;300 ),
 (0362;'Glalie';'Ice';NULL;80;80;80;80;80;80;480 ),
 (0363;'Spheal';'Ice';'Water';70;40;50;55;50;25;290 ),
 (0364;'Sealeo';'Ice';'Water';90;60;70;75;70;45;410 ),
